organization,imei,plate_number,,,
Metro,2881,2881,,,
Metro,2954,2954,,,
Metro,2830,2830,,,
Metro,2957,2957,,,
Metro,4037,4037,,,
Metro,4041,4041,,,
Metro,4059,4059,,,
Metro,4025,4025,,,
Metro,4044,4044,,,
Metro,2965,2965,,,
Metro,4022,4022,,,
Metro,4013,4013,,,
Metro,2978,2978,,,
Metro,4036,4036,,,
Metro,4141,4141,,,
Metro,4131,4131,,,
Metro,4067,4067,,,
Metro,4189,4189,,,
Metro,4083,4083,,,
Metro,4155,4155,,,
Metro,4187,4187,,,
Metro,4100,4100,,,
Metro,4130,4130,,,
Metro,4103,4103,,,
Metro,4303,4303,,,
Metro,4265,4265,,,
Metro,4259,4259,,,
Metro,4285,4285,,,
Metro,4300,4300,,,
Metro,4266,4266,,,
Metro,4309,4309,,,
Metro,4221,4221,,,
Metro,4298,4298,,,
Metro,4255,4255,,,
Metro,4357,4357,,,
Metro,4313,4313,,,
Metro,4264,4264,,,
Metro,4207,4207,,,
Metro,4333,4333,,,
Metro,4191,4191,,,
Metro,4247,4247,,,
Metro,4324,4324,,,
Metro,4201,4201,,,
Metro,4275,4275,,,
Metro,5527,5527,,,
Metro,5520,5520,,,
Metro,5534,5534,,,
Metro,5502,5502,,,
Metro,5524,5524,,,
Metro,5551,5551,,,
Metro,5545,5545,,,
Metro,5560,5560,,,
Metro,4433,4433,,,
Metro,5623,5623,,,
Metro,5600,5600,,,
Metro,5571,5571,,,
Metro,4490,4490,,,
Metro,4426,4426,,,
Metro,5584,5584,,,
Metro,5590,5590,,,
Metro,5604,5604,,,
Metro,4431,4431,,,
Metro,4455,4455,,,
Metro,5675,5675,,,
Metro,5640,5640,,,
Metro,5669,5669,,,
Metro,5574,5574,,,
Metro,5638,5638,,,
Metro,5715,5715,,,
Metro,5712,5712,,,
Metro,5686,5686,,,
Metro,5726,5726,,,
Metro,5701,5701,,,
Metro,5706,5706,,,
Metro,5729,5729,,,
Metro,5765,5765,,,
Metro,5741,5741,,,
Metro,5764,5764,,,
Metro,5760,5760,,,
Metro,5767,5767,,,
Metro,5777,5777,,,
Metro,5780,5780,,,
Metro,5761,5761,,,
Metro,5737,5737,,,
Metro,5794,5794,,,
Metro,5835,5835,,,
Metro,5802,5802,,,
Metro,5911,5911,,,
